LaptopID,CompanyName,TypeName,OSName,Inches,Ram,Weight,PriceEuros,CPUCompany,CPUModel,CPUFrequency,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPUCompany,GPUModel
27,Toshiba,2 in 1 Convertible,Windows 10,12.7,32,2.69,2737.57,Samsung,Atom Z8350,2.1,128,512,HDD,HDD,ARM,GeForce GTX 980 
28,LG,2 in 1 Convertible,Android,14.3,32,2.69,1680.17,Samsung,Pentium Quad Core N4200,3.3,512,512,SSD,HDD,Nvidia,Radeon R4 Graphics
29,Chuwi,Notebook,macOS,11.9,32,2.53,2374.92,AMD,Core i5 7440HQ,4.1,256,1024,Hybrid,Hybrid,AMD,Radeon 530
30,Apple,Ultrabook,Windows 10 S,12.8,32,1.13,972.84,Intel,Core i3 6100U,1.5,1024,512,Hybrid,Hybrid,ARM,HD Graphics
31,Samsung,Gaming,Linux,15.9,16,2.91,1707.51,Samsung,Core i7 6920HQ,2.0,128,512,Flash Storage,SSD,Nvidia,HD Graphics 515
32,Fujitsu,Ultrabook,Windows 10,12.5,32,2.73,2207.33,Intel,Core i5 7440HQ,2.4,1024,1024,SSD,HDD,ARM,FirePro W4190M 
33,LG,Workstation,macOS,16.5,32,2.19,2845.4,AMD,Core i5 6440HQ,4.0,1024,256,Hybrid,HDD,Nvidia,GeForce GTX 940M
34,Samsung,Ultrabook,Windows 10 S,13.5,32,2.81,2569.37,Intel,Pentium Dual Core 4405U,2.9,1024,0,SSD,Hybrid,AMD,GeForce GT 940MX
35,Lenovo,Ultrabook,Linux,13.8,8,2.14,1211.25,AMD,E-Series 9000e,3.6,1024,512,SSD,Hybrid,Intel,GeForce GTX 1050Ti
36,Fujitsu,Ultrabook,Android,12.9,4,2.95,2059.74,Intel,Core i5 7Y54,1.7,128,256,Flash Storage,HDD,ARM,GeForce GTX 1070M
37,Asus,2 in 1 Convertible,Mac OS X,14.3,16,2.92,753.03,Samsung,Core M 6Y30,1.4,256,512,SSD,No,Nvidia,GeForce GTX 960<U+039C>
38,Vero,Gaming,Mac OS X,12.0,8,1.25,2385.7,Samsung,Celeron Quad Core N3710,3.8,128,512,Hybrid,SSD,Intel,Radeon R7 M460
39,Huawei,Ultrabook,Windows 10 S,16.3,4,2.08,1277.91,AMD,E-Series 9000,1.5,256,512,Hybrid,Hybrid,ARM,Quadro M500M
40,LG,Netbook,Android,16.5,4,1.7,1517.17,AMD,Atom Z8350,3.1,1024,512,SSD,Hybrid,Nvidia,GeForce GTX 1060
41,Samsung,Notebook,Android,16.1,16,1.7,1909.62,AMD,A6-Series 7310,1.0,256,0,Flash Storage,Hybrid,ARM,Quadro M620M
42,MSI,Workstation,Chrome OS,15.3,32,2.12,346.56,AMD,Core M 6Y75,2.4,256,512,HDD,Hybrid,Nvidia,Radeon R5 430
43,Fujitsu,Netbook,Android,15.6,16,1.77,922.45,Samsung,FX 9830P,2.1,256,256,Flash Storage,Hybrid,Nvidia,GeForce GTX 930MX
44,LG,2 in 1 Convertible,Linux,17.2,8,1.74,1274.38,AMD,Core i5 7200U,3.5,256,512,SSD,No,Nvidia,Radeon R7 Graphics
45,Dell,Workstation,Chrome OS,12.2,4,2.44,1567.37,AMD,A8-Series 7410,1.6,128,512,Hybrid,No,Intel,Iris Graphics 550
46,Samsung,Ultrabook,macOS,12.5,16,1.21,970.12,Samsung,Core i5 7440HQ,3.1,256,1024,Hybrid,Hybrid,Nvidia,GeForce GTX 960
47,Razer,Netbook,macOS,15.1,4,3.37,861.03,Intel,Xeon E3-1505M V6,3.3,256,256,Flash Storage,No,AMD,Iris Plus Graphics 640
48,Razer,Gaming,Chrome OS,13.3,8,1.72,1063.34,AMD,Core i3 7100U,3.4,512,256,Hybrid,No,AMD,HD Graphics 540
49,Dell,Netbook,Windows 10,12.0,8,2.98,1906.62,Samsung,A10-Series A10-9620P,2.5,1024,512,Hybrid,SSD,ARM,HD Graphics 510
50,Acer,2 in 1 Convertible,macOS,16.7,16,2.51,369.84,Intel,Pentium Dual Core 4405Y,3.9,128,512,SSD,HDD,ARM,GeForce GTX 965M
51,Mediacom,Netbook,Windows 10,17.3,32,2.59,1627.66,Intel,E-Series 7110,2.2,512,512,SSD,HDD,Nvidia,GeForce 930M
52,Samsung,Netbook,Windows 10 S,16.2,4,2.14,1149.2,AMD,Atom x5-Z8300,4.4,1024,0,Hybrid,Hybrid,Intel,GeForce 150MX
53,Google,Netbook,Chrome OS,15.2,4,1.51,1782.89,AMD,Core i5 7Y57,4.1,1024,0,SSD,HDD,AMD,GeForce GTX 1050M
54,Fujitsu,Ultrabook,Windows 7,13.9,8,3.48,2764.91,AMD,E-Series E2-6110,3.3,256,1024,HDD,SSD,ARM,Radeon R7 M360
55,Samsung,Gaming,Mac OS X,14.2,8,1.96,2789.04,Samsung,Celeron Dual Core N3350,4.0,512,1024,HDD,SSD,Intel,GeForce 920M
56,Toshiba,2 in 1 Convertible,Chrome OS,16.5,32,2.35,1231.83,Samsung,Core M M3-6Y30,2.3,512,256,Flash Storage,Hybrid,AMD,Mali T860 MP4
57,Razer,Ultrabook,Android,15.8,32,1.97,2091.96,Samsung,Core i7 7700HQ,2.7,128,256,HDD,No,ARM,HD Graphics 615
58,Google,Gaming,macOS,15.7,32,3.18,2918.88,Intel,E-Series 7110,3.7,512,512,Hybrid,No,Nvidia,Mali T860 MP4
59,Fujitsu,Gaming,Android,15.2,32,3.18,396.93,Intel,Core i7 6920HQ,3.2,512,256,SSD,Hybrid,Intel,Radeon R9 M385
60,Asus,Gaming,Windows 10,15.6,4,1.11,2449.59,AMD,Pentium Quad Core N3710,2.3,256,256,Hybrid,HDD,AMD,GeForce 930MX 
61,Acer,2 in 1 Convertible,Windows 10 S,15.1,8,2.24,1874.52,Intel,A10-Series 9620P,3.2,1024,512,SSD,Hybrid,Nvidia,GeForce GTX1060
62,Fujitsu,Notebook,No OS,14.1,16,3.47,1107.72,AMD,Core M 6Y54,1.9,512,256,Hybrid,Hybrid,Intel,GeForce GTX 1070
63,Vero,2 in 1 Convertible,Android,14.9,16,1.05,2541.1,AMD,E-Series 9000e,1.0,128,1024,HDD,HDD,Nvidia,Radeon R4 Graphics
64,Chuwi,2 in 1 Convertible,Linux,15.5,8,2.57,2739.19,Samsung,Core i5 8250U,2.1,1024,0,HDD,HDD,Intel,Radeon R7 M445
65,Huawei,Workstation,Windows 10 S,12.6,8,2.97,2666.44,AMD,E-Series E2-9000,2.8,512,256,HDD,Hybrid,Nvidia,GeForce GTX 1050Ti
66,Huawei,Ultrabook,Chrome OS,17.1,8,2.89,909.16,Samsung,A9-Series 9410,3.4,1024,512,SSD,Hybrid,Intel,R4 Graphics
67,Fujitsu,Ultrabook,Chrome OS,13.7,16,2.46,2520.53,AMD,Core i7 8650U,3.4,1024,0,HDD,HDD,Intel,Quadro M2000M
68,Mediacom,Workstation,Linux,15.3,4,1.35,2854.91,AMD,Core M 7Y30,1.4,256,256,Hybrid,Hybrid,Nvidia,GeForce GTX 1070M
69,Fujitsu,Gaming,Windows 10,16.6,4,3.08,1962.26,AMD,Core i7 8550U,3.4,256,1024,Hybrid,HDD,Nvidia,HD Graphics 615
70,Xiaomi,2 in 1 Convertible,Android,11.9,16,1.47,629.83,AMD,Core i5 7300HQ,3.3,128,0,HDD,HDD,AMD,GeForce GTX 980 
71,LG,Notebook,No OS,16.3,8,2.47,2495.24,Intel,Core i7 7600U,3.7,128,512,Flash Storage,HDD,Nvidia,FirePro W4190M
72,Lenovo,Ultrabook,macOS,12.4,16,2.97,942.42,AMD,Core i7,1.6,128,256,Hybrid,No,Intel,FirePro W5130M
73,Mediacom,Netbook,Windows 7,15.0,32,2.26,2852.62,Intel,Core M M7-6Y75,2.8,1024,0,SSD,Hybrid,ARM,Radeon R5 430
74,Asus,Gaming,Chrome OS,12.0,4,1.81,700.5,Intel,E-Series 9000e,3.2,512,1024,HDD,Hybrid,ARM,HD Graphics 615
75,Asus,Workstation,Windows 7,15.7,8,2.08,2697.85,AMD,A8-Series 7410,3.9,1024,1024,SSD,SSD,ARM,HD Graphics 515
76,Microsoft,Netbook,Windows 10,15.5,32,1.17,2545.78,Intel,Core M m3-7Y30,1.3,512,256,SSD,SSD,Intel,GeForce 930M
77,Xiaomi,Workstation,Windows 10 S,16.5,4,3.42,1921.11,AMD,Core i7 8650U,3.0,256,256,Hybrid,HDD,Intel,R17M-M1-70
78,Fujitsu,Netbook,No OS,15.9,8,3.02,2581.92,Samsung,A12-Series 9700P,3.4,128,512,SSD,HDD,Nvidia,Radeon R7 Graphics
79,Toshiba,Netbook,Android,11.6,8,2.42,1382.12,Intel,Core i7 6560U,4.4,128,256,Hybrid,Hybrid,ARM,GTX 980 SLI
80,Lenovo,Netbook,Linux,15.7,4,3.21,720.07,Samsung,Core i3 6006U,3.4,512,1024,Hybrid,Hybrid,ARM,HD Graphics 630
81,Microsoft,Notebook,Windows 7,12.2,32,1.28,2131.19,Samsung,Core i7 6820HK,2.8,512,0,Flash Storage,Hybrid,Intel,Iris Plus Graphics 640
82,Chuwi,Netbook,Mac OS X,16.0,16,1.72,623.96,AMD,Core M m3-7Y30,1.6,1024,256,HDD,No,ARM,Radeon R3
83,HP,Gaming,macOS,14.2,4,3.16,1854.55,Samsung,Ryzen 1600,3.5,1024,512,SSD,Hybrid,Intel,Radeon R5 M420
84,Lenovo,2 in 1 Convertible,Chrome OS,16.3,16,1.22,2580.11,Intel,Core M m3-7Y30,3.1,128,1024,HDD,SSD,AMD,HD Graphics 505
85,Lenovo,Ultrabook,Windows 7,15.2,8,3.26,1243.31,Samsung,Core M m7-6Y75,3.9,256,0,Flash Storage,SSD,AMD,GeForce 930MX 
86,Dell,Workstation,No OS,12.6,32,2.16,1822.09,Samsung,Core i7 6700HQ,3.4,512,512,Flash Storage,Hybrid,Intel,FirePro W5130M
87,Mediacom,Workstation,Linux,16.1,4,1.88,500.31,AMD,Core i7 6700HQ,1.1,512,512,SSD,No,ARM,GeForce GT 940MX
88,LG,2 in 1 Convertible,macOS,14.2,8,1.8,1584.2,Intel,Core M m3,2.6,512,0,Flash Storage,No,AMD,GeForce 920
89,Mediacom,Gaming,Windows 7,14.6,8,1.91,2778.43,AMD,Core i7 7Y75,3.7,128,512,SSD,SSD,Intel,Quadro M620M
90,Vero,Netbook,Linux,15.7,8,1.83,1873.4,Intel,Celeron Dual Core 3855U,2.1,1024,256,SSD,SSD,ARM,HD Graphics 540
91,Huawei,Notebook,Windows 7,12.1,32,2.27,349.22,AMD,Celeron Dual Core N3060,4.3,512,1024,Flash Storage,HDD,AMD,GeForce 930MX
92,Acer,Netbook,No OS,14.5,4,2.65,2666.26,Samsung,A6-Series 9220,3.1,256,256,Flash Storage,HDD,ARM,Radeon R5
93,Razer,Netbook,Mac OS X,17.1,16,2.88,2416.26,Intel,Celeron Dual Core N3050,1.8,1024,256,HDD,Hybrid,ARM,HD Graphics 620 
94,Toshiba,Gaming,Windows 7,14.6,8,3.04,2463.4,Intel,Core i7 7820HK,1.2,1024,512,SSD,No,Nvidia,Radeon Pro 555
95,Lenovo,Netbook,Chrome OS,16.8,8,3.08,547.63,Intel,Core i7 6700HQ,4.1,128,1024,SSD,Hybrid,Nvidia,GeForce GTX 1070
96,Vero,Ultrabook,Android,12.9,16,3.33,2565.78,Samsung,Core i7 7600U,3.8,256,0,HDD,Hybrid,AMD,Radeon R9 M385
97,Samsung,Gaming,macOS,16.8,4,1.64,2554.4,Samsung,Core M,2.8,128,512,Flash Storage,SSD,Intel,Iris Pro Graphics
98,MSI,Gaming,Chrome OS,12.0,32,2.49,344.38,Samsung,Xeon E3-1535M v5,1.8,256,512,Hybrid,No,Nvidia,GeForce GTX 1070
99,LG,Gaming,Windows 10,15.4,4,2.31,1273.63,Samsung,Core M M3-6Y30,2.8,128,1024,Hybrid,No,ARM,GeForce 920MX 
100,Microsoft,Workstation,macOS,13.6,4,1.86,2278.94,Samsung,Core i7 8650U,3.7,512,256,SSD,SSD,Nvidia,Radeon R5 M315
101,Lenovo,Workstation,Chrome OS,17.2,32,2.58,2491.04,Intel,Core M 6Y30,3.7,1024,0,HDD,HDD,Intel,Radeon R5 M330
102,Chuwi,Ultrabook,Android,16.9,32,3.47,1766.18,AMD,Core i7 8550U,3.6,256,512,HDD,No,Nvidia,GeForce GTX 940MX
103,Asus,Netbook,Windows 10 S,16.7,32,3.24,1343.94,Intel,Core M 7Y30,3.4,512,512,SSD,Hybrid,Intel,GeForce GTX 940M
104,Lenovo,2 in 1 Convertible,Linux,13.4,4,1.82,1098.23,AMD,Core M,3.5,256,1024,HDD,Hybrid,Intel,Radeon R7 M465
105,Xiaomi,2 in 1 Convertible,Windows 10 S,13.2,4,1.19,2021.28,AMD,Celeron Quad Core N3160,3.8,256,0,Flash Storage,Hybrid,Intel,GeForce GTX 1050
106,Acer,Notebook,Android,13.7,4,2.51,2133.47,AMD,Core i5 7300U,2.6,128,256,HDD,Hybrid,Nvidia,Quadro M1000M
107,Microsoft,Notebook,No OS,11.7,8,2.25,1344.87,Samsung,E-Series E2-6110,1.9,512,1024,Flash Storage,SSD,ARM,Iris Graphics 540
108,Asus,Notebook,No OS,14.2,32,3.49,2488.39,AMD,Atom X5-Z8350,2.2,128,512,HDD,HDD,AMD,Radeon R5 M330
109,Xiaomi,2 in 1 Convertible,Mac OS X,12.3,8,2.98,939.19,AMD,A9-Series 9420,2.3,512,1024,Flash Storage,No,Intel,GeForce GTX 1050M
110,Vero,Workstation,Chrome OS,14.6,32,3.06,499.13,AMD,Core M m7-6Y75,1.3,1024,512,Flash Storage,HDD,AMD,GeForce GTX 940M
111,Google,Ultrabook,No OS,14.6,16,1.41,1171.18,Samsung,Core M 6Y75,2.2,512,0,HDD,HDD,Nvidia,GeForce GTX 1050
112,Toshiba,2 in 1 Convertible,Windows 7,12.1,8,2.48,1867.75,Intel,Core M M7-6Y75,3.2,512,0,SSD,No,Intel,HD Graphics 540
113,LG,Netbook,Mac OS X,16.0,32,2.55,381.77,Samsung,Core M M3-6Y30,2.0,512,1024,Flash Storage,Hybrid,Nvidia,Radeon RX 540
114,Acer,Workstation,macOS,12.5,32,2.21,850.86,Samsung,Core i3 7130U,2.1,512,512,Hybrid,HDD,Nvidia,HD Graphics 530
115,Fujitsu,Ultrabook,Android,13.0,4,1.67,969.38,Intel,Core i3 6006U,2.0,1024,1024,Flash Storage,HDD,Nvidia,GeForce GTX 960<U+039C>
116,Huawei,Notebook,Windows 10,14.4,32,2.25,1133.06,Intel,Core i5 7300HQ,4.3,1024,256,Flash Storage,SSD,Intel,Iris Pro Graphics
117,Toshiba,Gaming,Chrome OS,13.2,4,3.12,1463.5,AMD,A12-Series 9720P,3.7,512,0,Hybrid,No,AMD,Quadro M1200
118,Fujitsu,Netbook,No OS,13.8,32,2.91,1055.25,Samsung,Pentium Quad Core N3700,3.1,256,0,Hybrid,SSD,Nvidia,Quadro M620M
119,Xiaomi,Notebook,Mac OS X,15.0,32,2.25,422.32,Intel,Core M 6Y30,2.2,1024,1024,Flash Storage,HDD,Nvidia,Radeon R7
120,Huawei,Notebook,Windows 10 S,17.2,16,2.48,1669.75,Samsung,Celeron Dual Core N3050,2.7,512,1024,SSD,SSD,Nvidia,GeForce GTX1060
121,Asus,Gaming,Linux,16.1,4,2.49,1016.93,Samsung,Core i5 6260U,3.0,128,1024,Flash Storage,Hybrid,AMD,Quadro M500M
122,MSI,Ultrabook,No OS,12.7,32,1.78,708.86,Samsung,E-Series 6110,2.4,1024,0,Flash Storage,HDD,Nvidia,Radeon 540
123,Samsung,2 in 1 Convertible,Windows 10 S,13.4,8,2.15,1739.44,Samsung,Pentium Quad Core N3710,3.4,512,1024,Flash Storage,HDD,Nvidia,Quadro M620M
124,Toshiba,Notebook,Linux,16.0,8,2.73,1620.31,AMD,Celeron Dual Core 3855U,3.0,512,512,SSD,Hybrid,ARM,Radeon R5 M315
125,Xiaomi,Notebook,Linux,11.8,4,1.87,1494.42,AMD,A9-Series A9-9420,1.7,512,512,Flash Storage,No,AMD,GeForce GTX 1050 Ti
126,HP,Workstation,Windows 7,12.9,8,1.13,1415.91,Samsung,E-Series 7110,1.4,256,0,Flash Storage,Hybrid,ARM,Quadro M2200M
127,Chuwi,Netbook,Android,13.2,4,3.27,541.54,Samsung,Core i5 7500U,2.9,128,256,Hybrid,HDD,Intel,Quadro M3000M
128,Vero,Gaming,Windows 10,16.9,16,3.19,325.02,Samsung,Core M,1.4,512,512,Hybrid,Hybrid,AMD,GeForce 960M
129,Google,Gaming,Linux,12.7,4,1.83,2274.02,Samsung,Core i7 7820HK,3.5,128,512,HDD,HDD,AMD,Radeon R7
130,Vero,Gaming,Windows 7,13.5,32,2.67,798.91,Intel,A9-Series A9-9420,2.1,256,0,HDD,Hybrid,AMD,HD Graphics 405
131,Microsoft,Netbook,Linux,14.9,4,1.65,1270.79,Intel,Core M m3,3.3,1024,512,Flash Storage,Hybrid,Nvidia,Radeon R5 M420X
132,Asus,Workstation,Linux,13.7,8,1.55,660.64,Intel,Core i3 6100U,3.6,512,1024,Hybrid,HDD,AMD,HD Graphics 5300
133,Acer,2 in 1 Convertible,Chrome OS,14.6,16,1.2,1823.26,Intel,Core i5 6300HQ,4.2,256,256,Flash Storage,SSD,ARM,GeForce 940MX
134,Chuwi,Workstation,Chrome OS,12.1,32,3.02,1524.27,Samsung,Core i5 7440HQ,2.6,128,1024,HDD,No,ARM,GeForce MX130
135,Apple,Workstation,Mac OS X,14.9,4,2.06,2191.04,Samsung,Core M m3,4.3,128,1024,SSD,SSD,ARM,GeForce GTX 1060
136,Dell,Workstation,Windows 10 S,13.7,32,2.12,2776.21,AMD,Celeron Quad Core N3450,1.3,256,512,SSD,HDD,ARM,GeForce GTX1080
137,Dell,Workstation,Mac OS X,16.4,4,3.45,1550.11,Samsung,Core M M3-6Y30,2.5,1024,256,Flash Storage,Hybrid,Nvidia,GeForce 930MX
138,Microsoft,Notebook,No OS,11.8,32,2.54,2827.84,Intel,Core i7 6920HQ,1.7,128,0,Hybrid,No,AMD,Radeon R3
139,HP,Gaming,Chrome OS,12.9,8,2.89,2395.37,Intel,Xeon E3-1535M v6,4.5,256,512,HDD,HDD,Nvidia,Radeon 530
140,Google,Notebook,Windows 10 S,13.3,4,2.39,1897.5,Samsung,Atom x5-Z8550,3.2,1024,1024,SSD,SSD,ARM,GeForce GTX 980 
141,Google,Netbook,Windows 10 S,13.9,16,1.94,2336.92,AMD,Core i7 6920HQ,4.0,512,256,Hybrid,No,ARM,HD Graphics 630
142,Fujitsu,2 in 1 Convertible,Windows 10,13.8,16,1.51,2046.11,AMD,Core i5 7300U,1.3,256,0,HDD,Hybrid,Intel,HD Graphics 520
143,Chuwi,2 in 1 Convertible,Windows 7,12.8,8,3.17,1199.0,Intel,Core i5 6200U,4.3,128,1024,Flash Storage,HDD,ARM,GeForce GTX 1070
144,Fujitsu,Netbook,Linux,13.8,16,1.77,1271.04,AMD,A10-Series 9620P,1.3,1024,512,Flash Storage,SSD,Nvidia,GeForce 930M
145,HP,2 in 1 Convertible,Mac OS X,15.8,4,1.65,2823.85,Samsung,A9-Series 9410,2.5,256,256,HDD,HDD,ARM,GeForce GTX 970M
146,MSI,Gaming,Windows 7,15.3,16,1.64,2518.3,Samsung,Core M m7-6Y75,3.6,1024,256,HDD,HDD,AMD,GeForce GTX 930MX
147,Fujitsu,Gaming,Windows 10,16.8,4,2.31,2565.48,Intel,Atom X5-Z8350,1.2,128,1024,Flash Storage,HDD,Intel,GeForce 920
148,Dell,Ultrabook,Mac OS X,14.5,16,1.15,2021.87,Samsung,A9-Series A9-9420,3.3,128,0,Hybrid,No,Intel,GeForce GTX1080
149,Microsoft,2 in 1 Convertible,Linux,11.7,32,3.02,2756.39,Intel,E-Series E2-9000e,2.8,256,256,HDD,SSD,Nvidia,Radeon R5 M330
150,Vero,Ultrabook,Android,17.1,32,2.41,2973.63,Intel,Core i7 6600U,3.4,128,0,SSD,Hybrid,ARM,GeForce GTX 950M
151,Fujitsu,Gaming,macOS,15.2,8,1.21,2582.39,Samsung,Core i7 7600U,3.0,128,0,Flash Storage,HDD,ARM,GeForce GTX 940MX
152,HP,Ultrabook,Linux,16.7,4,1.45,2596.15,Intel,E-Series 6110,3.1,1024,0,HDD,HDD,AMD,GeForce GTX 970M
153,Vero,Workstation,Windows 7,13.5,8,2.98,2161.14,Intel,Xeon E3-1535M v6,3.6,512,0,SSD,Hybrid,AMD,Quadro M3000M
154,Acer,Netbook,Windows 10 S,17.1,16,1.07,1037.98,AMD,Core i7 6820HK,1.8,1024,1024,Flash Storage,Hybrid,Intel,HD Graphics 620 
155,Toshiba,Notebook,No OS,12.1,8,1.95,2416.5,Intel,Core i5 6440HQ,2.1,128,0,SSD,SSD,ARM,Quadro M1200
156,Microsoft,Ultrabook,Windows 10,12.1,32,2.12,1797.8,AMD,Core i7 8650U,1.1,512,0,HDD,Hybrid,Intel,Radeon R7 M445
157,Razer,Gaming,No OS,15.7,8,2.43,757.87,AMD,Pentium Quad Core N4200,1.5,512,512,Hybrid,HDD,Intel,HD Graphics 500
158,Razer,Netbook,Windows 10 S,13.3,4,1.9,2849.4,Samsung,A4-Series 7210,2.7,256,1024,SSD,HDD,Nvidia,Iris Plus Graphics 640
159,Vero,Netbook,Windows 10 S,16.2,16,2.1,1462.66,Samsung,Celeron Quad Core N3710,1.5,512,256,Hybrid,SSD,AMD,GeForce GTX 980M
160,Huawei,Netbook,Chrome OS,17.1,8,1.81,1056.81,AMD,A12-Series 9720P,1.4,256,256,SSD,Hybrid,AMD,HD Graphics 510
161,Toshiba,Workstation,No OS,16.3,32,2.68,675.78,AMD,Core i7 6920HQ,1.9,256,1024,Hybrid,No,ARM,Radeon R5 520
162,Samsung,2 in 1 Convertible,Windows 10 S,14.6,32,2.36,2434.95,AMD,Cortex A72&A53,4.1,128,0,Flash Storage,SSD,AMD,HD Graphics 540
163,HP,2 in 1 Convertible,Windows 10 S,17.1,16,3.41,1462.23,Intel,E-Series E2-9000e,1.9,256,1024,HDD,Hybrid,ARM,HD Graphics 620 
164,LG,Workstation,Windows 7,12.5,4,2.21,1097.67,Intel,Atom x5-Z8300,3.9,256,512,HDD,SSD,ARM,GeForce GTX 980 
165,Chuwi,2 in 1 Convertible,Chrome OS,13.6,4,2.1,2181.26,AMD,Core i7 7500U,2.1,128,0,HDD,No,AMD,Radeon R3
166,MSI,2 in 1 Convertible,Windows 10,14.7,16,2.4,2887.85,Intel,Ryzen 1600,3.2,256,1024,Hybrid,No,AMD,HD Graphics 405
167,LG,Gaming,Windows 10 S,11.6,8,1.51,2331.28,Intel,Xeon E3-1535M v5,1.4,256,512,HDD,HDD,ARM,GeForce 940MX
168,Microsoft,Workstation,Chrome OS,14.6,16,2.49,1950.53,Samsung,Atom x5-Z8300,2.2,1024,256,HDD,No,AMD,HD Graphics 515
169,Asus,Notebook,Linux,12.3,16,2.73,1679.23,AMD,Celeron Quad Core N3710,1.5,1024,1024,Flash Storage,Hybrid,AMD,Quadro M620M
170,Lenovo,Gaming,Linux,12.4,16,3.1,1972.41,AMD,Core i5 7200U,2.7,256,1024,Hybrid,Hybrid,ARM,HD Graphics 630
171,Mediacom,Gaming,Windows 10,12.1,4,2.99,895.43,Intel,E-Series 9000e,1.8,512,256,Hybrid,Hybrid,Intel,GeForce GTX 960<U+039C>
