clientes_dia,horas_abierto,publicidad_soles,promociones_activas,empleados_turno,precio_promedio,visitas_redes,productos_vendidos,tiempo_espera_min,ticket_promedio,dia_semana,feriado,clima,zona,evento_especial,turno,tipo_local,sector,método_pago_predominante,competencia_cerca,ventas_soles
77,11.347411457163268,165.09768819793615,1,6,40.20977342744937,975,160,14.106481890690608,96.33843528579678,Miércoles,No,Soleado,Comercial,No,Tarde,Restaurante,Alimentos,Yape,Media,3939.97
41,11.607428756020386,131.13805866785202,0,2,36.855141381406995,810,156,5.217337077054648,158.4903615576845,Viernes,Sí,Lluvioso,Residencial,No,Noche,Servicio,Alimentos,Plin,Baja,3181.06
108,8.616980688306565,913.9714808347995,4,3,13.218753906580929,147,474,12.639972325773597,16.367718395618205,Sábado,No,Soleado,Residencial,Sí,Mañana,Tienda,Tecnología,Yape,Alta,9308.16
68,6.8569692744040225,233.94261930568774,3,4,10.231058871047209,665,294,10.29907289442867,158.9255265581956,Viernes,No,Lluvioso,Industrial,No,Mañana,Servicio,Ropa,Plin,Alta,4936.0
78,10.300392686870234,445.470682117137,1,7,42.727958981901146,349,338,13.057968047853906,136.60500197669035,Jueves,No,Soleado,Industrial,No,Tarde,Restaurante,Alimentos,Efectivo,Baja,8358.03
189,6.008011066098402,476.40879736940286,0,8,39.94693169885096,796,225,14.665651813840562,55.87104528990977,Viernes,No,Lluvioso,Industrial,No,Mañana,Tienda,Ropa,Tarjeta,Baja,7380.61
34,8.512592230668142,619.0604920028892,1,2,19.726581816484888,471,462,13.200771568392579,109.70054798563461,Lunes,No,Lluvioso,Industrial,Sí,Tarde,Tienda,Otros,Yape,Baja,6089.27
194,6.868627692198985,118.14857656005371,0,8,34.618883369601505,356,483,6.651312261000287,19.36522742396446,Miércoles,No,Lluvioso,Comercial,No,Tarde,Servicio,Alimentos,Efectivo,Baja,10442.67
70,9.25304858966301,265.4206865304901,2,9,10.587208394651487,323,77,12.403048740932277,82.12184736446723,Jueves,No,Nublado,Comercial,Sí,Mañana,Restaurante,Tecnología,Yape,Alta,4162.35
127,5.923191303148055,934.9158675729798,4,7,27.817144657145516,310,408,10.963111344299303,43.06807102465563,Martes,No,Lluvioso,Residencial,No,Noche,Restaurante,Tecnología,Efectivo,Baja,9000.88
74,5.532743565878606,912.9896019051411,3,1,5.842863142718894,288,111,1.8624513916431478,14.237073343924257,Domingo,No,Lluvioso,Comercial,No,Mañana,Servicio,Ropa,Yape,Media,4292.61
83,11.345912693403497,792.2261150354076,1,6,22.622084641469996,985,138,14.016641368326738,77.84700457553352,Jueves,No,Nublado,Comercial,No,Noche,Restaurante,Otros,Efectivo,Alta,6054.1
150,4.814429463596295,68.43118333730466,1,8,8.36792696621323,823,292,7.523455282775637,147.9613593049428,Martes,No,Nublado,Residencial,No,Tarde,Servicio,Otros,Yape,Media,5704.68
70,8.047663261879453,360.656430071297,1,5,26.381623107059713,381,384,2.882307919747583,184.9941547980968,Jueves,No,Soleado,Comercial,No,Tarde,Restaurante,Alimentos,Yape,Baja,6875.51
154,5.766822263704071,646.5607985757624,1,2,23.975674108380247,164,60,6.955293360774045,135.83006748722346,Lunes,No,Soleado,Comercial,No,Mañana,Tienda,Ropa,Efectivo,Media,5166.16
40,4.31143970660534,311.43070118480193,4,5,24.99732619871252,317,387,9.443977431700684,86.37432434477418,Miércoles,No,Nublado,Industrial,No,Mañana,Servicio,Alimentos,Yape,Alta,5551.69
92,4.288150546331411,914.1073603010884,0,8,7.039908592159733,61,85,9.021245751174735,199.90426135635676,Sábado,Sí,Nublado,Industrial,No,Mañana,Restaurante,Otros,Efectivo,Alta,7262.5
186,5.401774176846619,652.1949887408198,4,2,21.272735357682457,122,384,9.04711105500824,63.759266539039956,Sábado,Sí,Nublado,Residencial,No,Tarde,Restaurante,Alimentos,Yape,Alta,9012.2
37,10.934162836048003,118.31138145062332,2,1,39.04177320949624,923,218,4.581749964124271,45.554972214554304,Viernes,No,Nublado,Industrial,No,Mañana,Servicio,Alimentos,Plin,Alta,3367.01
151,6.259829951816213,913.5553093939179,4,4,21.601146800912904,455,34,9.857834291896646,98.09963115292443,Domingo,No,Nublado,Comercial,No,Noche,Tienda,Alimentos,Plin,Media,6590.67
108,11.603673364602365,959.8783252674114,4,4,37.18273786743113,866,315,13.703807672887278,105.93316893394346,Jueves,No,Soleado,Industrial,No,Noche,Restaurante,Alimentos,Yape,Alta,6910.48
79,8.65297834391355,123.82679747213922,2,9,21.626542563517997,227,307,6.44133725172241,77.41644220823198,Miércoles,No,Nublado,Industrial,No,Tarde,Servicio,Alimentos,Efectivo,Alta,3988.32
33,7.492913518150129,555.7422231182492,4,3,24.04577486705839,821,174,9.828123956681537,142.14482501861082,Miércoles,No,Nublado,Residencial,Sí,Tarde,Tienda,Tecnología,Plin,Alta,1519.45
28,8.640710677355637,338.1960681034619,0,4,30.375145077316976,995,423,4.415818098101447,44.934238266361255,Miércoles,No,Soleado,Comercial,No,Mañana,Restaurante,Tecnología,Yape,Baja,7173.26
109,8.133587081810141,423.1971226573323,3,3,47.78068715631871,308,484,1.6759342826418258,106.96455435265315,Miércoles,No,Lluvioso,Residencial,No,Mañana,Restaurante,Alimentos,Yape,Media,9524.29
72,10.0702100300586,220.6686570575748,2,2,9.898720099099483,449,225,9.200239094871673,105.02412211514977,Miércoles,No,Soleado,Comercial,Sí,Noche,Restaurante,Otros,Efectivo,Baja,4398.44
149,6.259968527782818,599.168496911792,1,4,6.481119589752815,319,455,1.665697230593162,166.51942030951145,Domingo,No,Soleado,Comercial,No,Noche,Servicio,Ropa,Tarjeta,Alta,10020.9
103,6.824403132802419,960.080385586446,0,8,32.35807327145203,881,56,11.130184328886626,186.12395776455293,Viernes,No,Nublado,Comercial,No,Tarde,Servicio,Ropa,Efectivo,Baja,4899.0
111,11.152754420266007,527.9189702580286,3,1,47.70936900177919,681,156,10.384937769224697,136.02051600502534,Sábado,No,Lluvioso,Industrial,No,Mañana,Servicio,Otros,Tarjeta,Alta,5669.05
130,11.571652105203244,128.76885232475712,0,8,49.53754096496217,730,164,6.170550264618416,68.02060216358181,Viernes,No,Soleado,Residencial,No,Mañana,Tienda,Tecnología,Yape,Baja,6637.75
191,11.140465819891796,639.001266803538,0,8,26.78739113264008,535,52,6.758061535071746,141.0260937749753,Jueves,No,Lluvioso,Comercial,No,Mañana,Restaurante,Ropa,Tarjeta,Alta,6525.39
27,7.355583951658509,373.2118447286942,1,3,26.063672948829428,629,360,13.848653110682198,57.76051455569519,Sábado,No,Soleado,Industrial,Sí,Mañana,Restaurante,Otros,Tarjeta,Alta,5029.58
194,10.242924024055053,863.128930111733,3,6,34.02336968353383,108,146,1.1838707573228784,193.64343419111214,Sábado,Sí,Nublado,Residencial,No,Noche,Tienda,Alimentos,Efectivo,Alta,8370.21
54,7.81068586640879,462.9442409006467,0,4,30.00356407422364,691,421,8.886247331521888,166.24880262571543,Martes,Sí,Soleado,Industrial,Sí,Mañana,Tienda,Otros,Tarjeta,Baja,6949.92
100,7.9803188171688175,233.19762849513333,1,1,33.53396259263532,936,37,13.927055760282487,91.92614853854721,Jueves,No,Soleado,Industrial,No,Noche,Servicio,Alimentos,Tarjeta,Alta,2561.93
183,5.637440872458272,231.5503415565877,2,1,44.32997414920524,315,130,13.795821468774355,159.02526825690327,Domingo,No,Soleado,Comercial,No,Tarde,Restaurante,Alimentos,Yape,Baja,7416.85
69,8.729042426068132,780.3259716851023,1,5,38.58377762694242,124,290,9.185180693545696,87.64457261876254,Miércoles,No,Lluvioso,Residencial,No,Mañana,Tienda,Alimentos,Plin,Alta,6322.06
123,5.4890871820267835,302.3082183919919,4,8,27.3594826259058,139,228,6.3372199847343715,24.175930168152092,Martes,No,Lluvioso,Industrial,No,Noche,Tienda,Alimentos,Efectivo,Media,5421.3
151,6.65251759253755,778.8717244512618,1,1,25.78390065500763,554,115,2.3846493686532355,144.28608587011502,Sábado,No,Nublado,Industrial,Sí,Noche,Tienda,Otros,Efectivo,Alta,6752.71
21,10.840241612959481,245.59294522826943,1,2,33.78207868309022,406,257,3.432978853372907,86.8766282754037,Domingo,No,Lluvioso,Industrial,Sí,Noche,Servicio,Ropa,Plin,Media,4953.25
153,5.656606473686842,355.6020502662439,1,7,25.506782798913388,203,415,10.51542697285126,186.76076518893373,Domingo,No,Lluvioso,Industrial,No,Mañana,Servicio,Ropa,Plin,Alta,8448.53
73,4.5692662813874625,492.2126238177144,0,8,25.60007080695379,949,208,1.2328771733367496,68.24663072256446,Jueves,No,Lluvioso,Comercial,No,Noche,Restaurante,Alimentos,Plin,Alta,5447.86
125,4.55206074090253,946.0360572087782,3,3,5.733765580392717,267,479,13.368798069711755,170.23323607637272,Martes,No,Nublado,Comercial,Sí,Noche,Servicio,Alimentos,Tarjeta,Alta,9539.07
23,11.526276164024864,935.1448535161334,1,8,12.832886183328878,535,269,9.231082582042369,139.2831905892852,Sábado,No,Nublado,Residencial,No,Tarde,Restaurante,Ropa,Yape,Alta,5952.49
73,8.055363503694677,246.52828165117342,1,1,26.983113799808887,589,41,1.6320532717066982,172.13167706429934,Viernes,No,Nublado,Industrial,Sí,Mañana,Servicio,Otros,Efectivo,Alta,3311.42
165,7.275296574536147,390.3080891809192,4,9,42.01940565726661,179,332,4.3567438826828555,65.45755664777555,Miércoles,No,Nublado,Comercial,No,Noche,Servicio,Ropa,Yape,Baja,9566.11
63,10.487028648063347,191.9294190310837,4,2,17.542715302720588,115,263,9.318812747947165,97.65562663054239,Domingo,Sí,Soleado,Residencial,No,Noche,Servicio,Alimentos,Tarjeta,Baja,4158.92
181,10.686607423284128,534.4858253478222,2,2,28.518954490901706,193,212,1.4984177164374117,166.3945121347317,Martes,No,Nublado,Residencial,No,Mañana,Tienda,Ropa,Plin,Baja,8310.73
33,6.657528264924837,487.55342315993323,2,4,20.52329381416545,429,311,11.919823627408672,132.32557564506135,Lunes,No,Nublado,Comercial,No,Mañana,Servicio,Alimentos,Tarjeta,Media,5006.37
114,9.548944459790363,905.7221543281958,4,3,9.716179529281506,362,387,13.878908935628445,78.38516090411358,Miércoles,No,Soleado,Comercial,No,Noche,Restaurante,Otros,Plin,Alta,10026.99
67,10.168982526815093,933.505108901519,3,4,48.12343173820853,456,405,14.457085506227122,107.279168884767,Viernes,No,Soleado,Industrial,Sí,Mañana,Servicio,Tecnología,Efectivo,Alta,7771.64
34,9.237205494927636,414.3890214569275,2,6,43.46032416126358,456,458,11.271229456607353,199.25863792902237,Viernes,No,Lluvioso,Comercial,No,Mañana,Tienda,Alimentos,Tarjeta,Alta,8008.9
59,5.212760598400795,517.15104586804,3,7,8.532159101010787,326,219,12.995556591753239,150.95111912863757,Jueves,No,Lluvioso,Comercial,No,Mañana,Tienda,Ropa,Yape,Media,7207.0
101,11.007064668136456,901.4244366888264,4,5,37.39042681107281,664,355,9.549904472616308,126.75930402820552,Domingo,No,Nublado,Comercial,No,Mañana,Restaurante,Tecnología,Yape,Media,8495.18
130,8.31275642188807,816.3724173578083,2,2,20.64109569608751,458,244,7.419611303582043,167.303162282368,Sábado,No,Lluvioso,Residencial,No,Mañana,Restaurante,Ropa,Tarjeta,Media,7430.77
72,6.2597794109600295,53.473495777416815,1,3,49.768241317780664,363,287,10.9838865472109,93.98576436671233,Lunes,No,Soleado,Comercial,No,Noche,Tienda,Ropa,Tarjeta,Media,4023.72
43,7.401825483501551,354.0565859744034,4,3,18.607933392304,598,55,4.13852929967773,190.51216088287023,Martes,No,Lluvioso,Residencial,No,Noche,Servicio,Ropa,Yape,Baja,2128.65
173,4.300568723191259,450.6855298393196,2,5,15.743230041316997,298,299,2.5369805667377032,114.88403345218151,Domingo,No,Lluvioso,Residencial,No,Tarde,Restaurante,Tecnología,Tarjeta,Media,6860.39
143,5.0229344097793405,268.2304694990701,3,5,30.555074673743235,994,111,11.665913665804581,72.10570842899482,Jueves,No,Nublado,Comercial,Sí,Tarde,Restaurante,Alimentos,Tarjeta,Media,6369.28
60,10.124374004126887,239.59303510114182,3,4,42.580677350444184,510,387,14.414615101802166,26.34379573861013,Viernes,No,Soleado,Residencial,No,Mañana,Servicio,Tecnología,Tarjeta,Media,6117.91
176,4.000093078042929,85.89528126589568,2,8,13.66334923189091,448,214,9.08471065259233,81.38209165697246,Martes,No,Soleado,Industrial,Sí,Mañana,Servicio,Tecnología,Plin,Media,7268.62
34,7.332526627858337,661.2012388162725,3,6,36.92312463736991,717,317,7.755593193970045,118.04129163694837,Viernes,No,Lluvioso,Industrial,No,Noche,Servicio,Tecnología,Yape,Baja,5675.95
64,8.180081448684707,299.38477595900736,2,6,7.763296241350476,500,91,8.481659237810582,143.6171463593164,Viernes,No,Lluvioso,Residencial,No,Tarde,Tienda,Otros,Tarjeta,Alta,2932.67
84,4.437075360007778,99.72981950974744,2,1,46.352063439972376,520,400,7.698498581387655,176.27217165310392,Lunes,No,Lluvioso,Comercial,No,Mañana,Tienda,Otros,Yape,Media,7421.62
108,11.784625303778663,269.4303450016605,3,6,8.648371226628445,693,491,7.190803936481335,189.3525587115248,Miércoles,No,Nublado,Comercial,No,Mañana,Servicio,Tecnología,Efectivo,Baja,8719.42
90,5.8090026499973755,811.8182551943202,0,3,46.140411935487315,608,59,14.258499718046979,29.46623077441427,Martes,No,Lluvioso,Residencial,No,Tarde,Restaurante,Tecnología,Tarjeta,Baja,3529.1
28,6.433589757090247,858.9147225642193,1,6,27.08632622537163,483,426,7.716684675795477,124.17194733958482,Lunes,Sí,Lluvioso,Comercial,No,Tarde,Restaurante,Alimentos,Plin,Baja,6013.29
107,6.431540098040219,508.91293293363753,4,6,25.164100075816393,495,453,2.1354341741956997,136.65203334097492,Sábado,No,Nublado,Residencial,No,Mañana,Tienda,Otros,Plin,Alta,8369.35
148,5.843333296938799,445.26713688825185,1,2,48.79881857751695,756,60,11.71723350698331,42.69212522873818,Domingo,No,Soleado,Industrial,No,Tarde,Tienda,Alimentos,Tarjeta,Media,5766.9
155,4.011790576690491,978.9610088266927,4,1,49.56728799641986,152,322,6.481862447710806,113.66412925004886,Viernes,No,Nublado,Residencial,No,Tarde,Restaurante,Ropa,Tarjeta,Alta,10180.22
82,9.834758352703972,240.5364266086664,4,3,34.25801566824554,377,202,10.949709640484372,73.61839076025228,Viernes,No,Lluvioso,Residencial,No,Tarde,Tienda,Ropa,Efectivo,Baja,3474.13
158,11.734763998394282,254.59131871187805,1,5,10.720368133567183,732,131,9.113971034041693,24.709293077323544,Lunes,No,Lluvioso,Industrial,No,Noche,Tienda,Ropa,Tarjeta,Alta,6444.09
100,5.7943478662803605,327.27381818457974,2,4,27.77765385448411,650,157,10.984520912181907,22.51453832175702,Sábado,No,Soleado,Industrial,No,Mañana,Restaurante,Otros,Yape,Baja,3864.36
155,9.30437753442738,214.11945236703295,3,7,28.81233954300481,295,115,1.8679153984995138,154.25046628421754,Martes,No,Nublado,Residencial,No,Tarde,Servicio,Ropa,Tarjeta,Baja,6345.46
182,9.93517061566972,410.39731829397726,0,4,28.150089266088937,107,344,1.4742265173495228,126.9365358556841,Viernes,No,Lluvioso,Industrial,No,Tarde,Restaurante,Otros,Yape,Media,10767.47
182,10.787403032724198,915.2925156402661,0,8,30.627132733400437,154,57,6.299582747915976,145.87311886377003,Sábado,No,Soleado,Industrial,No,Mañana,Tienda,Otros,Yape,Baja,7421.17
52,7.381033576108873,634.5804485971456,0,7,5.84261212074758,741,151,10.70432592950717,140.20284936191473,Martes,No,Lluvioso,Comercial,Sí,Noche,Servicio,Alimentos,Yape,Alta,4333.24
142,6.423447245123434,441.3492211816505,1,9,37.00522766617261,118,280,4.1315553766839175,35.51933695804547,Lunes,No,Soleado,Industrial,No,Mañana,Servicio,Ropa,Yape,Alta,6281.48
24,6.602361072184249,937.6902548426541,1,1,37.05774358788446,351,90,7.067610051476009,38.79739873950823,Viernes,No,Lluvioso,Industrial,Sí,Tarde,Restaurante,Alimentos,Yape,Baja,2549.21
60,9.700970664788102,96.04102085203121,2,5,10.196139883004957,202,432,14.731343695621643,57.971907599352136,Jueves,No,Lluvioso,Residencial,Sí,Tarde,Servicio,Ropa,Tarjeta,Media,5471.8
47,10.534235732045088,249.7623690067683,0,4,30.660774910061033,586,200,4.008243763242837,85.82911152329105,Jueves,No,Soleado,Industrial,No,Mañana,Servicio,Tecnología,Tarjeta,Alta,4637.48
154,5.452911742052821,587.5941748466711,2,6,30.576253209609856,938,472,12.871208464799091,188.44348273815007,Viernes,No,Soleado,Residencial,Sí,Noche,Restaurante,Alimentos,Tarjeta,Media,9887.84
91,6.967528065262122,634.7749920335202,0,1,35.71026890856801,84,301,12.556452387356753,138.03954866275944,Miércoles,No,Lluvioso,Comercial,No,Mañana,Servicio,Otros,Plin,Media,7623.25
31,11.2155215739932,87.57963123448249,1,6,8.84289614607865,64,354,13.478930594045838,58.48266754550657,Viernes,No,Soleado,Residencial,No,Mañana,Servicio,Alimentos,Yape,Media,5101.0
181,10.453548157557915,432.88682001177557,3,1,33.192648826974334,155,329,13.81198441080302,20.636979347194586,Viernes,No,Lluvioso,Residencial,No,Mañana,Restaurante,Ropa,Efectivo,Media,8293.99
52,11.878867222099807,666.6962665893291,3,1,17.633837783585353,779,142,8.102482693573851,140.0025468532109,Viernes,No,Lluvioso,Comercial,No,Noche,Restaurante,Otros,Tarjeta,Baja,4937.58
67,10.033986077456646,713.1670190832315,3,8,27.815134572327736,945,223,10.54707296473806,128.8105094550499,Lunes,No,Nublado,Comercial,No,Mañana,Tienda,Otros,Tarjeta,Baja,6212.1
170,7.145561608223378,656.2329073904558,3,2,39.79955987168345,123,423,9.66447276821972,138.39504948880602,Viernes,No,Lluvioso,Industrial,No,Mañana,Tienda,Otros,Plin,Baja,10720.41
81,8.725102671957103,354.5350631428783,4,6,36.7540671363356,905,460,5.325279565117798,59.62413427113016,Viernes,No,Lluvioso,Residencial,No,Mañana,Restaurante,Ropa,Tarjeta,Media,7801.4
56,9.288114033978562,138.84411741801404,0,6,10.350635795509703,980,48,4.917026206165903,108.22301127281904,Lunes,No,Soleado,Residencial,No,Tarde,Tienda,Tecnología,Yape,Alta,2895.32
118,4.627646530536992,455.7568240983674,3,6,31.603315420223296,334,369,5.7819795730152785,78.72353226438291,Viernes,No,Nublado,Residencial,No,Noche,Restaurante,Tecnología,Tarjeta,Alta,7343.27
191,8.35597567283092,172.3167154996527,4,8,48.61024389233324,599,122,4.05840824810769,165.3627983996916,Jueves,No,Soleado,Comercial,No,Tarde,Tienda,Alimentos,Yape,Baja,7123.48
123,9.674566627780877,950.2424755946338,4,4,12.0546246800751,246,246,11.603369706899137,23.185365802546904,Jueves,No,Soleado,Residencial,No,Tarde,Tienda,Otros,Tarjeta,Alta,8356.53
54,5.338570432008483,501.4123227214968,4,3,43.38081894764367,329,494,14.50402015797122,62.33393999391082,Domingo,No,Lluvioso,Industrial,No,Mañana,Servicio,Ropa,Tarjeta,Baja,7555.15
120,10.245053739404458,351.3962156390242,2,6,36.61466362491996,836,208,13.148804385733095,124.56121139237013,Sábado,No,Lluvioso,Comercial,No,Tarde,Tienda,Alimentos,Yape,Media,4713.29
194,8.670182244112894,777.9888675629551,2,4,39.83014908093919,735,426,4.051165657237328,48.99251764406409,Domingo,No,Lluvioso,Residencial,No,Mañana,Servicio,Ropa,Yape,Baja,11856.94
150,11.617774285580758,523.0511629531507,4,2,17.688124721419044,866,220,1.7268165899705177,137.81555283484613,Domingo,No,Soleado,Comercial,No,Mañana,Tienda,Alimentos,Tarjeta,Alta,7822.69
20,4.339378385655134,344.53232281182756,3,6,17.95500182209291,605,429,11.599314699010451,35.98677560802907,Viernes,No,Soleado,Comercial,No,Mañana,Servicio,Alimentos,Yape,Baja,4834.07
24,6.122609100443736,821.3693552712616,0,5,45.770875509941966,715,466,6.4629932827206265,14.334335456193594,Lunes,No,Lluvioso,Comercial,No,Tarde,Tienda,Ropa,Plin,Baja,8526.15
161,8.812431034398593,873.7945434510659,1,9,21.19244144416514,202,192,12.544576626334008,174.06396124057284,Viernes,Sí,Soleado,Residencial,No,Noche,Tienda,Ropa,Yape,Alta,9697.44
122,6.372479297647446,689.3577579742431,2,6,7.835692581176472,340,129,11.90930115221033,73.35443626738325,Viernes,No,Nublado,Residencial,No,Mañana,Servicio,Tecnología,Yape,Baja,6580.79
46,9.715393312569937,94.61620128728393,3,3,32.026851661075256,981,216,9.755743527986107,39.801306781596146,Sábado,No,Nublado,Industrial,No,Noche,Servicio,Ropa,Efectivo,Baja,3742.06
156,10.072042260175447,588.0067361582055,3,5,10.61679510688292,191,324,4.574750681311535,42.81471489170197,Martes,No,Nublado,Comercial,Sí,Noche,Restaurante,Alimentos,Yape,Alta,8967.59
34,4.820127712531796,775.1301663974175,1,8,40.84683086335587,817,96,2.456500749622058,178.3201248665673,Domingo,No,Soleado,Residencial,No,Tarde,Restaurante,Otros,Yape,Baja,2414.56
109,8.110835713654142,179.67786147940308,1,9,33.87858991254758,361,102,4.537076564785893,134.34196716789432,Sábado,Sí,Nublado,Residencial,No,Mañana,Servicio,Ropa,Efectivo,Media,6147.82
61,8.071124444728447,267.2372138153732,3,8,44.36269273495437,695,261,8.13663573483654,191.70579065211712,Miércoles,No,Lluvioso,Industrial,Sí,Tarde,Tienda,Ropa,Yape,Baja,6188.56
143,6.9542461617243285,888.3703498147296,1,3,40.31767624021859,81,218,14.71248165899335,162.0076614418022,Lunes,No,Lluvioso,Residencial,No,Noche,Restaurante,Otros,Efectivo,Alta,7744.21
198,11.463398900557376,69.11563576042033,3,9,10.045114175218828,75,79,1.8916213628050211,155.83311015535216,Domingo,No,Lluvioso,Residencial,No,Noche,Restaurante,Tecnología,Tarjeta,Media,7769.41
82,10.62005055898577,765.0907809346772,1,3,22.148180439549,960,338,3.801008011423045,104.96592531926564,Miércoles,No,Nublado,Residencial,No,Noche,Restaurante,Otros,Tarjeta,Media,6783.8
115,9.577675055277094,500.0846278887018,1,8,39.85521124615643,304,331,9.781912407693953,165.95293075416765,Martes,No,Nublado,Comercial,No,Mañana,Restaurante,Otros,Plin,Alta,7166.3
71,9.71461308587998,474.4335508976265,3,9,23.78036629698466,994,337,5.261101525338388,88.40398230395182,Miércoles,No,Soleado,Industrial,Sí,Mañana,Restaurante,Ropa,Tarjeta,Alta,7148.44
115,7.693729150504953,56.741705870142816,4,7,48.756446815099025,784,153,13.01906019215838,167.13009443614735,Viernes,No,Lluvioso,Industrial,No,Tarde,Servicio,Tecnología,Yape,Baja,4201.42
